trial_number,params,value
47,"{'tfidf_max_ngram': 3, 'tfidf_max_df': 0.9843173309793392, 'tfidf_min_df': 201, 'classifier': 'RidgeClassifier', 'ridge_alpha': 7.138842733509722, 'solver': 'cholesky'}",-inf
48,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.7351689362895171, 'tfidf_min_df': 45, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.03736418836798258, 'svc_loss': 'hinge', 'C_svc': 7.643516984125186, 'svc_max_iter': 18578}",0.882277226546195
0,"{'tfidf_max_ngram': 1, 'tfidf_max_df': 0.7085870291137008, 'tfidf_min_df': 490, 'classifier': 'RidgeClassifier', 'ridge_alpha': 8.290304101206022, 'solver': 'auto', 'tol': 0.0072575629391953425}",0.8659764638775928
1,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.8470548121478274, 'tfidf_min_df': 670, 'classifier': 'RidgeClassifier', 'ridge_alpha': 7.357396859735886, 'solver': 'sparse_cg', 'tol': 0.021049926545632782}",0.8652527184582836
2,"{'tfidf_max_ngram': 3, 'tfidf_max_df': 0.7297843952390093, 'tfidf_min_df': 371, 'classifier': 'RidgeClassifier', 'ridge_alpha': 0.0452150039366969, 'solver': 'cholesky', 'tol': 0.0030605350111719775}",0.870350427481619
3,"{'tfidf_max_ngram': 3, 'tfidf_max_df': 0.7734144634415471, 'tfidf_min_df': 260, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.036906714550885275, 'svc_loss': 'squared_hinge', 'C_svc': 4.016845585469534, 'svc_max_iter': 18666}",0.8694695435129102
4,"{'tfidf_max_ngram': 1, 'tfidf_max_df': 0.734505733216947, 'tfidf_min_df': 520, 'classifier': 'RidgeClassifier', 'ridge_alpha': 1.93834460730555, 'solver': 'saga', 'tol': 0.06038163237044144}",0.8640883800360365
5,"{'tfidf_max_ngram': 3, 'tfidf_max_df': 0.9020191562363228, 'tfidf_min_df': 492, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.0005632590516967261, 'svc_loss': 'squared_hinge', 'C_svc': 6.941804796203366, 'svc_max_iter': 10272}",0.8640255067911324
6,"{'tfidf_max_ngram': 3, 'tfidf_max_df': 0.9392031261707745, 'tfidf_min_df': 747, 'classifier': 'RidgeClassifier', 'ridge_alpha': 6.981804446800502, 'solver': 'cholesky', 'tol': 0.04429173651501849}",0.8599974252569419
7,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.84533451799035, 'tfidf_min_df': 290, 'classifier': 'RidgeClassifier', 'ridge_alpha': 6.347107287836731, 'solver': 'lsqr', 'tol': 0.02906776239132521}",0.8850462537736078
8,"{'tfidf_max_ngram': 3, 'tfidf_max_df': 0.7659023853962592, 'tfidf_min_df': 410, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.03800862684296337, 'svc_loss': 'hinge', 'C_svc': 7.392484599370979, 'svc_max_iter': 19035}",0.8685569604960144
9,"{'tfidf_max_ngram': 3, 'tfidf_max_df': 0.8584115538898734, 'tfidf_min_df': 756, 'classifier': 'RidgeClassifier', 'ridge_alpha': 3.006757423781192, 'solver': 'cholesky', 'tol': 0.019698661878514087}",0.8598401282618158
10,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.999021699713362, 'tfidf_min_df': 58, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.09568528740545743, 'C_svc': 0.4168589819925561, 'svc_max_iter': 1195}",0.901000797675205
11,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9876851194306643, 'tfidf_min_df': 34, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.09845474616583293, 'C_svc': 0.7328303214457677, 'svc_max_iter': 1163}",0.9032665468090764
12,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9934786029697565, 'tfidf_min_df': 6, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.09879199951307475, 'C_svc': 0.058506514690375044, 'svc_max_iter': 1325}",0.8293473075862329
13,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9858529259362576, 'tfidf_min_df': 32, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.09813622918030165, 'C_svc': 0.14592773821643945, 'svc_max_iter': 1232}",0.8770532511330107
14,"{'tfidf_max_ngram': 1, 'tfidf_max_df': 0.9534721894625512, 'tfidf_min_df': 952, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.07895150783831806, 'C_svc': 3.150497377229717, 'svc_max_iter': 5844}",0.8492353211174979
15,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.930536164436554, 'tfidf_min_df': 142, 'classifier': 'LinearSVC', 'svc_penalty': 'l1', 'tol': 0.07892036820953968, 'C_svc': 2.1877903858920633, 'svc_max_iter': 5779}",0.8811445723178482
